city,row_num,title,epg_id
Ростов-на-Дону,115,History HD,epg599
Ростов-на-Дону,116,Музыка первого,epg95
Ростов-на-Дону,117,Europa Plus TV,epg96
Ростов-на-Дону,118,Food Network HD,epg541
Ростов-на-Дону,119,Fox,epg75
Ростов-на-Дону,120,MGM HD,epg327
Ростов-на-Дону,121,КХЛ,epg105
Ростов-на-Дону,122,Дон 24,epg415
Ростов-на-Дону,123,Candy TV HD,epg385
Ростов-на-Дону,124,Русский иллюзион,epg40
Ростов-на-Дону,125,Настоящее Страшное Телевидение,epg352
Ростов-на-Дону,126,Наш футбол,epg313
Ростов-на-Дону,127,Наш футбол HD,epg272
Ростов-на-Дону,128,Иллюзион +,epg41
Ростов-на-Дону,129,Русская ночь,epg331
Ростов-на-Дону,130,A2,epg317
Ростов-на-Дону,131,French Lover TV,epg318
Ростов-на-Дону,132,Brazzers TV,epg500
Ростов-на-Дону,133,CANDYMAN,epg511
Ростов-на-Дону,134,Fashion One HD,epg330
Ростов-на-Дону,135,Viasat Golf HD,epg594
Ростов-на-Дону,136,Русский роман,epg307
Ростов-на-Дону,137,TV1000 Premium HD,epg375
Ростов-на-Дону,138,Viasat Sport,epg593
Ростов-на-Дону,139,Travel Channel HD,epg328
Ростов-на-Дону,140,Zee TV,epg93
Ростов-на-Дону,141,Travel Channel,epg302
Ростов-на-Дону,142,ЖИВИ!,epg108
Ростов-на-Дону,143,МУЗ-ТВ,epg380
Ростов-на-Дону,144,TLC HD,epg516
Ростов-на-Дону,145,NuArt.TV,epg271
Ростов-на-Дону,146,Эгоист ТВ,epg296
Ростов-на-Дону,147,Animal Planet HD,epg306
Ростов-на-Дону,148,Матч! Футбол 1,epg340
Ростов-на-Дону,149,Матч! Футбол 2,epg571
Ростов-на-Дону,150,Матч! Футбол 3,epg577
Ростов-на-Дону,151,Матч! Футбол 1 HD,epg616
Ростов-на-Дону,152,Матч! Футбол 2 HD,epg617
Ростов-на-Дону,153,Матч! Футбол 3 HD,epg618
Ростов-на-Дону,154,Deutsche Welle,epg65
Ростов-на-Дону,155,France 24,epg298
Ростов-на-Дону,156,CNN,epg290
Ростов-на-Дону,157,BBC World News,epg293
