timestamp,angle,x,y,xx,yy,zz
0.013566370614359172,-0.7843981633974484,2.7232109254225756e-19,-1.6940658945086007e-21,2.7232109254225756e-19,0.013566370614359172,-1.6940658945086007e-6
0.026132741228718347,-0.7843981633974484,6.301925127571995e-19,-1.2705494208814505e-21,6.301925127571995e-19,0.026132741228718347,-1.2705494208814505e-6
0.03869911184307752,-0.7843981633974484,1.0638733817514012e-18,3.3881317890172014e-21,1.0638733817514012e-18,0.03869911184307752,3.3881317890172014e-6
0.051265482457436694,-0.7843981633974484,1.5322826015830293e-18,-8.470329472543003e-22,1.5322826015830293e-18,0.051265482457436694,-8.470329472543003e-7
0.06383185307179587,-0.7843981633974484,1.9985742390465217e-018,8.470329472543003e-22,1.9985742390465217e-018,0.06383185307179587,8.470329472543003e-7
0.07639822368615504,-0.7843981633974484,2.4208201632527904e-18,-1.6940658945086007e-21,2.4208201632527904e-18,0.07639822368615504,-1.6940658945086007e-6
0.08896459430051422,-0.7843981633974484,2.754974660944612e-18,8.470329472543003e-22,2.754974660944612e-18,0.08896459430051422,8.470329472543003e-7
0.10153096491487339,-0.7843981633974484,2.9747797107571028e-18,3.3881317890172014e-21,2.9747797107571028e-18,0.10153096491487339,3.3881317890172014e-6
0.11409733552923255,-0.7843981633974484,3.036401357669853e-18,3.3881317890172014e-21,3.036401357669853e-18,0.11409733552923255,3.3881317890172014e-6
0.12666370614359174,-0.7843981633974484,2.9576272935752032e-18,1.6940658945086007e-21,2.9576272935752032e-18,0.12666370614359174,1.6940658945086007e-6
0.1392300767579509,-0.7843981633974484,2.7431161996830516e-18,-1.6940658945086007e-21,2.7431161996830516e-18,0.1392300767579509,-1.6940658945086007e-6
0.15179644737231007,-0.7843981633974484,2.4193378555950953e-18,0,2.4193378555950953e-18,0.15179644737231007,0
0.16436281798666924,-0.7843981633974484,2.0190089088990316e-18,-8.470329472543003e-22,2.0190089088990316e-18,0.16436281798666924,-8.470329472543003e-7
0.17692918860102844,-0.7843981633974484,1.5809869960501516e-18,-8.470329472543003e-22,1.5809869960501516e-18,0.17692918860102844,-8.470329472543003e-7
0.1894955592153876,-0.7843981633974484,1.1537647532787638e-18,-4.235164736271502e-22,1.1537647532787638e-18,0.1894955592153876,-4.2351647362715017e-7
0.20206192982974677,-0.7843981633974484,7.5343580658270015e-19,-4.235164736271502e-22,7.5343580658270015e-19,0.20206192982974677,-4.2351647362715017e-7
0.21462830044410594,-0.7843981633974484,4.2184887751224327e-19,4.235164736271502e-22,4.2184887751224327e-19,0.21462830044410594,4.2351647362715017e-7
0.2271946710584651,-0.7843981633974484,1.7665930906172501e-19,2.117582368135751e-22,1.7665930906172501e-19,0.2271946710584651,2.1175823681357508e-7
0.2397610416728243,-0.7843981633974484,3.153874239542184e-20,0,3.153874239542184e-20,0.2397610416728243,0
0.2523274122871835,-0.7843981633974484,-4.028783173439521e-21,2.6469779601696886e-23,-4.028783173439521e-21,0.2523274122871835,2.6469779601696886e-8
0.26489378290154264,-0.7843981633974484,7.365216174172158e-20,0,7.365216174172158e-20,0.26489378290154264,0
0.2774601535159018,-0.7843981633974484,2.6808592780598606e-19,2.117582368135751e-22,2.6808592780598606e-19,0.2774601535159018,2.1175823681357508e-7
0.290026524130261,-0.7843981633974484,5.738648217647885e-19,0,5.738648217647885e-19,0.290026524130261,0
0.30259289474462014,-0.7843981633974484,9.80493576006056e-19,4.235164736271502e-22,9.80493576006056e-19,0.30259289474462014,4.2351647362715017e-7
0.3151592653589793,-0.7843981633974484,1.4680139767101093e-18,8.470329472543003e-22,1.4680139767101093e-18,0.3151592653589793,8.470329472543003e-7
0.3277256359733385,-0.7843981633974484,1.992962645770962e-18,8.470329472543003e-22,1.992962645770962e-18,0.3277256359733385,8.470329472543003e-7
0.3402920065876977,-0.7843981633974484,2.4964178537952367e-18,-8.470329472543003e-22,2.4964178537952367e-18,0.3402920065876977,-8.470329472543003e-7
0.35285837720205687,-0.7843981633974484,2.9326398216312013e-18,0,2.9326398216312013e-18,0.35285837720205687,0
0.36542474781641604,-0.7843981633974484,3.2227486060657992e-18,0,3.2227486060657992e-18,0.36542474781641604,0
0.3779911184307752,-0.7843981633974484,3.2703942093488536e-18,-1.6940658945086007e-21,3.2703942093488536e-18,0.3779911184307752,-1.6940658945086007e-6
0.3905574890451344,-0.7843981633974484,3.0281427864341237e-18,2.541098841762901e-21,3.0281427864341237e-18,0.3905574890451344,2.541098841762901e-6
0.40312385965949354,-0.7843981633974484,2.4491957669858094e-18,0,2.4491957669858094e-18,0.40312385965949354,0
0.4156902302738527,-0.7843981633974484,1.5348237004247922e-18,0,1.5348237004247922e-18,0.4156902302738527,0
0.4282566008882119,-0.7843981633974484,3.189079046412441e-19,0,3.189079046412441e-19,0.4282566008882119,0
0.44082297150257105,-0.7843981633974484,-1.116812940954795e-18,0,-1.116812940954795e-18,0.44082297150257105,0
0.4533893421169302,-0.7843981633974484,-2.64824850959057e-18,8.470329472543003e-22,-2.64824850959057e-18,0.4533893421169302,8.470329472543003e-7
0.4659557127312894,-0.7843981633974484,-4.1330972661273585e-18,8.470329472543003e-22,-4.1330972661273585e-18,0.4659557127312894,8.470329472543003e-7
0.4785220833456486,-0.7843981633974484,-5.429057675426438e-18,0,-5.429057675426438e-18,0.4785220833456486,0
0.4910884539600078,-0.7843981633974484,-6.3836638069820345e-18,-8.470329472543003e-22,-6.3836638069820345e-18,0.4910884539600078,-8.470329472543003e-7
0.5036548245743669,-0.7843981633974484,-6.914753464910481e-18,0,-6.914753464910481e-18,0.5036548245743669,0
