"harm","ampl","angle","submarker","source_harm","round_harm","marker"
0.0159154943091895,33.9374637679134,0.01,"1",1,0,"0 - 3"
2.02126777726707,187.098111841715,0.01,"3",127,2,"0 - 3"
0.0159154943091895,34.6029677321949,0.03,"1",1,0,"0 - 3"
2.02126777726707,186.634208526544,0.03,"3",127,2,"0 - 3"
0.0159154943091895,35.3623584014357,0.05,"1",1,0,"0 - 3"
2.02126777726707,186.021337286899,0.05,"3",127,2,"0 - 3"
0.0159154943091895,36.1872961832688,0.07,"1",1,0,"0 - 3"
1.01859163578813,14.2283520743441,0.07,"0",64,1,"0 - 3"
2.02126777726707,185.258769872929,0.07,"3",127,2,"0 - 3"
0.0159154943091895,37.0452171284158,0.09,"1",1,0,"0 - 3"
1.01859163578813,19.4072620775146,0.09,"0",64,1,"0 - 3"
2.02126777726707,184.374055622928,0.09,"3",127,2,"0 - 3"
0.0159154943091895,37.9065684326988,0.11,"1",1,0,"0 - 3"
1.01859163578813,24.537727844004,0.11,"0",64,1,"0 - 3"
2.02126777726707,183.391259742241,0.11,"3",127,2,"0 - 3"
0.0159154943091895,38.7470967583668,0.13,"1",1,0,"0 - 3"
1.01859163578813,29.6324002469999,0.13,"0",64,1,"0 - 3"
2.02126777726707,182.319834137254,0.13,"3",127,2,"0 - 3"
0.0159154943091895,39.5468845382242,0.15,"1",1,0,"0 - 3"
1.01859163578813,34.6894975823502,0.15,"0",64,1,"0 - 3"
2.02126777726707,181.158233289308,0.15,"3",127,2,"0 - 3"
0.0159154943091895,40.2885768185224,0.17,"1",1,0,"0 - 3"
1.01859163578813,39.7002576753372,0.17,"0",64,1,"0 - 3"
2.02126777726707,179.901753775934,0.17,"3",127,2,"0 - 3"
0.0159154943091895,40.9561496370808,0.19,"1",1,0,"0 - 3"
1.01859163578813,44.6550704004251,0.19,"0",64,1,"0 - 3"
2.02126777726707,178.548232132897,0.19,"3",127,2,"0 - 3"
0.0159154943091895,41.5344543283747,0.21,"1",1,0,"0 - 3"
1.01859163578813,49.5463552352841,0.21,"0",64,1,"0 - 3"
2.02126777726707,177.100131865962,0.21,"3",127,2,"0 - 3"
0.0159154943091895,42.009259443983,0.23,"1",1,0,"0 - 3"
1.01859163578813,54.3689422425761,0.23,"0",64,1,"0 - 3"
2.02126777726707,175.564053062693,0.23,"3",127,2,"0 - 3"
0.0159154943091895,42.3674609272926,0.25,"1",1,0,"0 - 3"
1.01859163578813,59.1192675794383,0.25,"0",64,1,"0 - 3"
2.02126777726707,173.949137052217,0.25,"3",127,2,"0 - 3"
0.0159154943091895,42.597259223705,0.27,"1",1,0,"0 - 3"
1.01859163578813,63.7943072359199,0.27,"0",64,1,"0 - 3"
2.02126777726707,172.265385812475,0.27,"3",127,2,"0 - 3"
0.0159154943091895,42.6882428333677,0.29,"1",1,0,"0 - 3"
1.01859163578813,68.3906812642273,0.29,"0",64,1,"0 - 3"
2.02126777726707,170.522366677942,0.29,"3",127,2,"0 - 3"
0.0159154943091895,42.6314078251707,0.31,"1",1,0,"0 - 3"
1.01859163578813,72.9040651785603,0.31,"0",64,1,"0 - 3"
2.02126777726707,168.728440959,0.31,"3",127,2,"0 - 3"
0.0159154943091895,42.4191607849533,0.33,"1",1,0,"0 - 3"
1.01859163578813,77.3289510621437,0.33,"0",64,1,"0 - 3"
2.02126777726707,166.890569815434,0.33,"3",127,2,"0 - 3"
0.0159154943091895,42.0453086721308,0.35,"1",1,0,"0 - 3"
1.01859163578813,81.6588108683985,0.35,"0",64,1,"0 - 3"
2.02126777726707,165.014787097339,0.35,"3",127,2,"0 - 3"
0.0159154943091895,41.5049850459026,0.37,"1",1,0,"0 - 3"
1.01859163578813,85.8867096195248,0.37,"0",64,1,"0 - 3"
2.02126777726707,163.10739570007,0.37,"3",127,2,"0 - 3"
0.0159154943091895,40.7944658757048,0.39,"1",1,0,"0 - 3"
1.01859163578813,90.0063159920522,0.39,"0",64,1,"0 - 3"
2.02126777726707,161.17672196033,0.39,"3",127,2,"0 - 3"
0.0159154943091895,39.9109115308098,0.41,"1",1,0,"0 - 3"
1.01859163578813,94.0130793956144,0.41,"0",64,1,"0 - 3"
2.02126777726707,159.234928887252,0.41,"3",127,2,"0 - 3"
0.0159154943091895,38.8521781915212,0.43,"1",1,0,"0 - 3"
