"harm","ampl","angle","submarker","source_harm","round_harm","marker"
0.0159154943091895,95.1343691619464,0.01,"1",1,0,"0 - 3"
2.02126777726707,103.878910303819,0.01,"3",127,2,"0 - 3"
0.0159154943091895,92.0992875398017,0.03,"1",1,0,"0 - 3"
2.02126777726707,103.752903382844,0.03,"3",127,2,"0 - 3"
0.0159154943091895,89.1213342744049,0.05,"1",1,0,"0 - 3"
2.02126777726707,103.790024070045,0.05,"3",127,2,"0 - 3"
0.0159154943091895,86.2115693214304,0.07,"1",1,0,"0 - 3"
1.01859163578813,194.209655680394,0.07,"0",64,1,"0 - 3"
2.02126777726707,104.003592611842,0.07,"3",127,2,"0 - 3"
0.0159154943091895,83.3757743485337,0.09,"1",1,0,"0 - 3"
1.01859163578813,192.842157984368,0.09,"0",64,1,"0 - 3"
2.02126777726707,104.37998749697,0.09,"3",127,2,"0 - 3"
0.0159154943091895,80.6161037305531,0.11,"1",1,0,"0 - 3"
1.01859163578813,191.403026870026,0.11,"0",64,1,"0 - 3"
2.02126777726707,104.89790206399,0.11,"3",127,2,"0 - 3"
0.0159154943091895,77.932850104995,0.13,"1",1,0,"0 - 3"
1.01859163578813,189.891968142297,0.13,"0",64,1,"0 - 3"
2.02126777726707,105.540854154782,0.13,"3",127,2,"0 - 3"
0.0159154943091895,75.3255380002649,0.15,"1",1,0,"0 - 3"
1.01859163578813,188.30999207678,0.15,"0",64,1,"0 - 3"
2.02126777726707,106.299051131238,0.15,"3",127,2,"0 - 3"
0.0159154943091895,72.7931624572484,0.17,"1",1,0,"0 - 3"
1.01859163578813,186.659460158151,0.17,"0",64,1,"0 - 3"
2.02126777726707,107.16581211375,0.17,"3",127,2,"0 - 3"
0.0159154943091895,70.3339139214431,0.19,"1",1,0,"0 - 3"
1.01859163578813,184.943027358543,0.19,"0",64,1,"0 - 3"
2.02126777726707,108.133831195049,0.19,"3",127,2,"0 - 3"
0.0159154943091895,67.9448094366837,0.21,"1",1,0,"0 - 3"
1.01859163578813,183.162866081518,0.21,"0",64,1,"0 - 3"
2.02126777726707,109.193401447597,0.21,"3",127,2,"0 - 3"
0.0159154943091895,65.6214793022885,0.23,"1",1,0,"0 - 3"
1.01859163578813,181.320507024517,0.23,"0",64,1,"0 - 3"
2.02126777726707,110.33240055169,0.23,"3",127,2,"0 - 3"
0.0159154943091895,63.3581712186218,0.25,"1",1,0,"0 - 3"
1.01859163578813,179.417130978968,0.25,"0",64,1,"0 - 3"
2.02126777726707,111.537138853488,0.25,"3",127,2,"0 - 3"
0.0159154943091895,61.1479257287712,0.27,"1",1,0,"0 - 3"
1.01859163578813,177.454082550083,0.27,"0",64,1,"0 - 3"
2.02126777726707,112.793363550536,0.27,"3",127,2,"0 - 3"
0.0159154943091895,58.9828472184628,0.29,"1",1,0,"0 - 3"
1.01859163578813,175.433446807739,0.29,"0",64,1,"0 - 3"
2.02126777726707,114.087075646604,0.29,"3",127,2,"0 - 3"
0.0159154943091895,56.8544097504837,0.31,"1",1,0,"0 - 3"
1.01859163578813,173.358586800761,0.31,"0",64,1,"0 - 3"
2.02126777726707,115.405055304318,0.31,"3",127,2,"0 - 3"
0.0159154943091895,54.7537560237672,0.33,"1",1,0,"0 - 3"
1.01859163578813,171.234590902844,0.33,"0",64,1,"0 - 3"
2.02126777726707,116.735112528389,0.33,"3",127,2,"0 - 3"
0.0159154943091895,52.6719436646683,0.35,"1",1,0,"0 - 3"
1.01859163578813,169.068649759599,0.35,"0",64,1,"0 - 3"
2.02126777726707,118.066167705985,0.35,"3",127,2,"0 - 3"
0.0159154943091895,50.6000741684787,0.37,"1",1,0,"0 - 3"
1.01859163578813,166.870429529707,0.37,"0",64,1,"0 - 3"
2.02126777726707,119.388341498977,0.37,"3",127,2,"0 - 3"
0.0159154943091895,48.5292460717373,0.39,"1",1,0,"0 - 3"
1.01859163578813,164.652456873811,0.39,"0",64,1,"0 - 3"
2.02126777726707,120.693236765531,0.39,"3",127,2,"0 - 3"
0.0159154943091895,46.4503341942019,0.41,"1",1,0,"0 - 3"
1.01859163578813,162.430389269513,0.41,"0",64,1,"0 - 3"
2.02126777726707,121.974470330112,0.41,"3",127,2,"0 - 3"
0.0159154943091895,44.3536875636353,0.43,"1",1,0,"0 - 3"
1.01859163578813,160.222945684825,0.43,"0",64,1,"0 - 3"
2.02126777726707,123.228299429256,0.43,"3",127,2,"0 - 3"
0.0159154943091895,42.2288980792989,0.45,"1",1,0,"0 - 3"
1.01859163578813,158.051371997658,0.45,"0",64,1,"0 - 3"
2.02126777726707,124.454021831192,0.45,"3",127,2,"0 - 3"
0.0159154943091895,40.0647808691502,0.47,"1",1,0,"0 - 3"
1.01859163578813,155.938615581855,0.47,"0",64,1,"0 - 3"
2.02126777726707,125.653835909995,0.47,"3",127,2,"0 - 3"
0.0159154943091895,37.8496482556928,0.49,"1",1,0,"0 - 3"
1.01859163578813,153.908674206473,0.49,"0",64,1,"0 - 3"
2.02126777726707,126.832040793649,0.49,"3",127,2,"0 - 3"
0.0159154943091895,35.5719080294587,0.51,"1",1,0,"0 - 3"
1.01859163578813,151.986582119062,0.51,"0",64,1,"0 - 3"
2.02126777726707,127.993737684728,0.51,"3",127,2,"0 - 3"
0.0159154943091895,33.2209980503388,0.53,"1",1,0,"0 - 3"
1.01859163578813,150.199085677377,0.53,"0",64,1,"0 - 3"
2.02126777726707,129.143433380427,0.53,"3",127,2,"0 - 3"
0.0159154943091895,30.7886467667254,0.55,"1",1,0,"0 - 3"
1.01859163578813,148.575439651122,0.55,"0",64,1,"0 - 3"
2.02126777726707,130.284056462836,0.55,"3",127,2,"0 - 3"
0.0159154943091895,28.2703614084233,0.57,"1",1,0,"0 - 3"
1.01859163578813,147.147344158928,0.57,"0",64,1,"0 - 3"
2.02126777726707,131.416824312834,0.57,"3",127,2,"0 - 3"
0.0159154943091895,25.6668752174715,0.59,"1",1,0,"0 - 3"
1.01859163578813,145.947201545012,0.59,"0",64,1,"0 - 3"
2.02126777726707,132.542113457295,0.59,"3",127,2,"0 - 3"
0.0159154943091895,22.9851040682999,0.61,"1",1,0,"0 - 3"
1.01859163578813,145.004617656271,0.61,"0",64,1,"0 - 3"
2.02126777726707,133.661010646679,0.61,"3",127,2,"0 - 3"
0.0159154943091895,20.2381090827946,0.63,"1",1,0,"0 - 3"
1.01859163578813,144.342007692362,0.63,"0",64,1,"0 - 3"
2.02126777726707,134.776713825209,0.63,"3",127,2,"0 - 3"
0.0159154943091895,17.4437501648635,0.65,"1",1,0,"0 - 3"
1.01859163578813,143.970727121516,0.65,"0",64,1,"0 - 3"
2.02126777726707,135.894709350201,0.65,"3",127,2,"0 - 3"
0.0159154943091895,14.6221351596808,0.67,"1",1,0,"0 - 3"
1.01859163578813,143.888993169749,0.67,"0",64,1,"0 - 3"
2.02126777726707,137.020961068488,0.67,"3",127,2,"0 - 3"
0.0159154943091895,11.7924493383388,0.69,"1",1,0,"0 - 3"
1.01859163578813,144.082120727487,0.69,"0",64,1,"0 - 3"
2.02126777726707,138.158223204606,0.69,"3",127,2,"0 - 3"
0.0159154943091895,8.97003940214534,0.71,"1",1,0,"0 - 3"
1.01859163578813,144.524744175047,0.71,"0",64,1,"0 - 3"
2.02126777726707,139.301639860224,0.71,"3",127,2,"0 - 3"
1.01859163578813,145.184187012804,0.73,"0",64,1,"0 - 3"
2.02126777726707,140.435404989307,0.73,"3",127,2,"0 - 3"
1.01859163578813,146.024117183429,0.75,"0",64,1,"0 - 3"
2.02126777726707,141.532016497627,0.75,"3",127,2,"0 - 3"
1.01859163578813,147.007919803664,0.77,"0",64,1,"0 - 3"
2.02126777726707,142.554672639578,0.77,"3",127,2,"0 - 3"
1.01859163578813,148.101559550275,0.79,"0",64,1,"0 - 3"
