"","Package","LibPath","Version","Priority","Depends","Imports","NeedsCompilation","Built","whereat"
"assertive.data.us","assertive.data.us","C:/Users/Ilya/Documents/R/win-library/4.0","0.0-2",NA,"R (>= 3.0.0)","assertive.base (>= 0.0-2), assertive.strings","no","4.0.0","CRAN"
"assertive.datetimes","assertive.datetimes","C:/Users/Ilya/Documents/R/win-library/4.0","0.0-2",NA,"R (>= 3.0.0)","assertive.base (>= 0.0-2), assertive.types","no","4.0.0","CRAN"
"assertive.files","assertive.files","C:/Users/Ilya/Documents/R/win-library/4.0","0.0-2",NA,"R (>= 3.0.0)","assertive.base (>= 0.0-2), assertive.numbers","no","4.0.0","CRAN"
"assertive.matrices","assertive.matrices","C:/Users/Ilya/Documents/R/win-library/4.0","0.0-2",NA,"R (>= 3.0.0)","assertive.base (>= 0.0-2)","no","4.0.0","CRAN"
"assertive.models","assertive.models","C:/Users/Ilya/Documents/R/win-library/4.0","0.0-2",NA,"R (>= 3.0.0)","assertive.base (>= 0.0-2), stats","no","4.0.0","CRAN"
"assertive.numbers","assertive.numbers","C:/Users/Ilya/Documents/R/win-library/4.0","0.0-2",NA,"R (>= 3.0.0)","assertive.base (>= 0.0-2)","no","4.0.0","CRAN"
"assertive.properties","assertive.properties","C:/Users/Ilya/Documents/R/win-library/4.0","0.0-4",NA,"R (>= 3.0.0)","assertive.base (>= 0.0-7), methods","no","4.0.0","CRAN"
"assertive.reflection","assertive.reflection","C:/Users/Ilya/Documents/R/win-library/4.0","0.0-4",NA,"R (>= 3.0.0)","assertive.base (>= 0.0-7), utils","no","4.0.0","CRAN"
"assertive.sets","assertive.sets","C:/Users/Ilya/Documents/R/win-library/4.0","0.0-3",NA,"R (>= 3.0.0)","assertive.base (>= 0.0-7)","no","4.0.0","CRAN"
"assertive.strings","assertive.strings","C:/Users/Ilya/Documents/R/win-library/4.0","0.0-3",NA,"R (>= 3.0.0)","assertive.base (>= 0.0-2), assertive.types, stringi","no","4.0.0","CRAN"
"assertive.types","assertive.types","C:/Users/Ilya/Documents/R/win-library/4.0","0.0-3",NA,"R (>= 3.0.0)","assertive.base (>= 0.0-7), assertive.properties, codetools,
methods, stats","no","4.0.0","CRAN"
"assertr","assertr","C:/Users/Ilya/Documents/R/win-library/4.0","2.7",NA,"R (>= 3.1.0)","dplyr (>= 0.7.0), MASS, stats, utils, rlang (>= 0.3.0)","no","4.0.0","CRAN"
"assertthat","assertthat","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.1",NA,NA,"tools","no","4.0.0","CRAN"
"autocogs","autocogs","C:/Users/Ilya/Documents/R/win-library/4.0","0.1.3",NA,"R (>= 3.4.0)","dplyr, checkmate, MASS, broom, moments, diptest, mclust,
ggplot2, tibble, utils, hexbin, progress","no","4.0.0","CRAN"
"babynames","babynames","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.0",NA,"R (>= 2.10)","tibble","no","4.0.0","CRAN"
"backports","backports","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.8",NA,"R (>= 3.0.0)","utils","yes","4.0.2","CRAN"
"base64enc","base64enc","C:/Users/Ilya/Documents/R/win-library/4.0","0.1-3",NA,"R (>= 2.9.0)",NA,"yes","4.0.0","CRAN"
"bayesAB","bayesAB","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.2",NA,NA,"Rcpp (>= 0.12.4), ggplot2 (>= 3.2.0), methods, rlang (>=
0.4.0)","yes","4.0.0","CRAN"
"BayesFactor","BayesFactor","C:/Users/Ilya/Documents/R/win-library/4.0","0.9.12-4.2",NA,"R (>= 3.2.0), coda, Matrix (>= 1.1-1)","pbapply, mvtnorm, stringr, utils, graphics, gtools,
MatrixModels, Rcpp (>= 0.11.2), methods, hypergeo","yes","4.0.0","CRAN"
"bayesplot","bayesplot","C:/Users/Ilya/Documents/R/win-library/4.0","1.7.2",NA,"R (>= 3.1.0)","dplyr (>= 0.8.0), ggplot2 (>= 3.0.0), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils","no","4.0.0","CRAN"
"bayestestR","bayestestR","C:/Users/Ilya/Documents/R/win-library/4.0","0.7.0",NA,"R (>= 3.0)","insight (>= 0.8.4), methods, stats, utils","no","4.0.2","CRAN"
"BayesX","BayesX","C:/Users/Ilya/Documents/R/win-library/4.0","0.3-1",NA,"shapefiles","sp, maptools, colorspace, coda, splines, methods","no","4.0.0","CRAN"
"BayesXsrc","BayesXsrc","C:/Users/Ilya/Documents/R/win-library/4.0","3.0-1",NA,"R (>= 2.8.0)",NA,"yes","4.0.0","CRAN"
"bbmle","bbmle","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.23.1",NA,"R (>= 3.0.0), stats4","stats, numDeriv, lattice, MASS, methods, bdsmatrix, Matrix,
mvtnorm","no","4.0.0","CRAN"
"bdsmatrix","bdsmatrix","C:/Users/Ilya/Documents/R/win-library/4.0","1.3-4",NA,"methods, R (>= 2.0.0)",NA,"yes","4.0.0","CRAN"
"beeswarm","beeswarm","C:/Users/Ilya/Documents/R/win-library/4.0","0.2.3",NA,NA,"stats, graphics, grDevices, utils","no","4.0.0","CRAN"
"bench","bench","C:/Users/Ilya/Documents/R/win-library/4.0","1.1.1",NA,"R (>= 3.1)","glue, methods, pillar, profmem, rlang (>= 0.2.0), stats,
tibble, utils","yes","4.0.0","CRAN"
"benchmarkme","benchmarkme","C:/Users/Ilya/Documents/R/win-library/4.0","1.0.4",NA,"R (>= 3.5.0)","benchmarkmeData (>= 1.0.4), compiler, doParallel, dplyr,
foreach, graphics, httr, Matrix, methods, parallel, tibble,
utils","no","4.0.0","CRAN"
