"timestamp","delta_time","bandwidth_in","bandwidth_out"
"04/04/2015 23:59:50",3652,5.08419180,0.19704261
"05/04/2015 00:59:23",3573,0.46689647,0.08451279
"05/04/2015 01:58:28",3545,0.51014578,0.09469025
"05/04/2015 02:59:25",3657,1.65071321,0.10785839
"05/04/2015 03:59:31",3606,0.95958346,0.09316299
"05/04/2015 04:58:35",3544,0.48567116,0.08559704
"05/04/2015 05:59:28",3653,0.48466811,0.08855112
"05/04/2015 06:59:42",3614,0.36581954,0.08959918
"05/04/2015 07:58:45",3543,0.78168106,0.09176483
"05/04/2015 08:59:38",3653,6.09011316,0.19338043
"05/04/2015 09:59:44",3606,2.68514156,0.13321313
"05/04/2015 10:58:54",3550,1.79226100,0.29871827
"05/04/2015 11:59:49",3655,1.91309071,0.12496008
"05/04/2015 12:59:49",3600,2.76271820,0.17160220
"05/04/2015 13:58:54",3545,0.52340287,0.10577793
"05/04/2015 14:59:44",3650,1.26533687,0.12390175
"05/04/2015 15:59:55",3611,1.89172506,0.13455108
"05/04/2015 16:58:58",3543,1.41986632,0.11403669
"05/04/2015 17:59:50",3652,1.52815938,0.12926038
"05/04/2015 18:59:57",3607,1.39936590,0.12758580
"05/04/2015 19:59:09",3552,0.40309757,0.09791384
"05/04/2015 20:59:04",3595,6.40284586,0.15851350
"05/04/2015 21:59:13",3609,3.89749742,0.15400715
"05/04/2015 22:59:15",3602,2.22238684,0.15907821
"05/04/2015 23:59:18",3603,3.36499548,0.17052200
"06/04/2015 00:59:52",3634,1.39693236,0.12909022
"06/04/2015 01:59:04",3552,0.47652018,0.10695038
"06/04/2015 02:59:59",3655,0.38699034,0.08648566
"06/04/2015 03:59:08",3549,0.30944610,0.08336789
"06/04/2015 04:59:19",3611,0.32040679,0.08258510
"06/04/2015 05:59:14",3595,0.28930008,0.08183043
"06/04/2015 06:59:13",3599,1.20243824,0.09790026
"06/04/2015 07:59:20",3607,1.17912209,0.11977649
"06/04/2015 08:59:18",3598,3.80838156,0.37811813
"06/04/2015 09:59:08",3590,15.13457012,1.29764020
"06/04/2015 10:59:09",3601,17.38145447,1.87957823
"06/04/2015 11:59:59",3650,23.37582207,4.65696096
"06/04/2015 12:59:04",3545,25.24524117,1.96392393
"06/04/2015 13:59:11",3607,28.35562515,5.73452950
"06/04/2015 14:59:44",3633,27.72492027,5.82803202
"06/04/2015 15:59:50",3606,30.38183594,9.71106625
"06/04/2015 16:58:55",3545,42.15202332,5.94821501
"06/04/2015 17:59:46",3651,29.14111137,3.82991600
"06/04/2015 18:59:54",3608,16.78295708,2.74029779
"06/04/2015 19:58:57",3543,22.22397995,1.56420040
"06/04/2015 20:59:50",3653,11.54591274,0.68013221
"06/04/2015 21:59:58",3608,6.38266611,0.32823402
"06/04/2015 22:59:42",3584,4.02937460,0.28607398
"06/04/2015 23:59:49",3607,4.36858225,0.23133345
"07/04/2015 00:59:45",3596,0.69071537,0.12637123
"07/04/2015 01:59:50",3605,0.23762757,0.10366154
"07/04/2015 02:59:56",3606,0.33338434,0.09803199
"07/04/2015 03:59:50",3594,0.26349735,0.08898155
"07/04/2015 04:59:57",3607,0.27057964,0.08671730
"07/04/2015 05:59:06",3549,0.29865655,0.09326541
"07/04/2015 06:59:54",3648,0.84929341,0.10533972
"07/04/2015 07:59:01",3547,7.30290270,0.32788035
